Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34617904,Destiny Disrupted: A History of the World Through Islamic Eyes,Tamim Ansary,"Ansary, Tamim",,"=""""","=""""",0,4.39,PublicAffairs,Kindle Edition,416,2009,2009,,2023/11/18,"to-read, tbr-history","to-read (#649), tbr-history (#82)",to-read,,,,0,0
53242328,River Kings: A New History of the Vikings from Scandinavia to the Silk Road,Cat Jarman,"Jarman, Cat",,"=""0008353077""","=""9780008353070""",0,4.07,William Collins,Hardcover,336,2021,2021,,2023/11/18,"to-read, tbr-history","to-read (#648), tbr-history (#81)",to-read,,,,0,0
24862294,The 5 Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,"Lencioni, Patrick",,"=""9780787960""","=""""",0,4.10,,Hardcover,,,2002,,2023/10/27,"monthly-tbr, currently-reading","monthly-tbr (#2), currently-reading (#5)",currently-reading,,,,1,0
62925948,Play of Shadows (Dr. Evan Wilding #3),Barbara Nickless,"Nickless, Barbara",,"=""1662509995""","=""9781662509995""",0,4.50,Thomas & Mercer,Kindle Edition,443,2023,2023,,2023/04/30,"tbr-contemporary-mystery, currently-reading","tbr-contemporary-mystery (#8), currently-reading (#4)",currently-reading,,,,1,0
9647295,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765365278""","=""9780765365279""",0,4.65,Tom Doherty,Mass Market Paperback,1258,2011,2010,,2020/10/20,"tbr-fantasy, currently-reading","tbr-fantasy (#112), currently-reading (#3)",currently-reading,,,,1,0
9822415,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,"Christie, Agatha",,"=""0062073575""","=""9780062073570""",4,4.03,William Morrow Paperbacks,Paperback,266,2011,1942,2023/11/11,2023/11/07,,,read,"So happy to be back reading Poirot! Every time I take a break in between books, it always feels too long. This one had a very intriguing setup. While it's not the first time we've investigated a crime from the past, this one had a nice twist, where we hear many different versions of the events from the different characters. So while Poirot is putting the pieces together, we can also do our own investigation in parallel. This keeps you invested in the story even when Poirot isn't in the picture, because you have your own story to follow. This plot is pretty complex too, with characters you're not sure if you truly understand or like. Who do you believe? Who is lying? Even later in the story it's still unclear whether or not you'll be able to pick the culprit. Which to me, in the end, was a bit underwhelming. It was really down to two options, and either felt fairly obvious if you were paying attention. With that being said, it was still very enjoyable, with well written characters and a complex plot. I would continue highly recommending Poirot and this book.<br/><br/>Quick hits:<br/>+ Very complex characters. Both the main actors in the original crime were extremely deep and hard to understand.<br/>+ The plots with Poirot solving old crimes are really unique.<br/>+ Poirot continues to shine as always.<br/>+ Storytelling technique was different this time around.<br/>- Ending wasn't bad, but was underwhelming to me.<br/><br/>Overall, Poirot rules, Christie is the GOAT, and if you aren't reading her, what are you doing? 4/5 stars.",,,1,0
123153535,The Way of Edan (The Edan Trilogy #1),Philip   Chase,"Chase, Philip",,"=""""","=""9798987636510""",0,4.00,,Kindle Edition,539,2023,2023,,2023/03/12,"to-read, tbr-fantasy-indie","to-read (#549), tbr-fantasy-indie (#39)",to-read,,,,0,0
53597791,"Master and Commander (Aubrey & Maturin, #1)",Patrick O'Brian,"O'Brian, Patrick",,"=""0393541584""","=""9780393541588""",0,4.07,W. W. Norton & Company,Paperback,400,2021,1969,,2023/11/12,"to-read, tbr-historical-fiction","to-read (#647), tbr-historical-fiction (#19)",to-read,,,,0,0
6285903,"Retribution Falls (Tales of the Ketty Jay, #1)",Chris Wooding,"Wooding, Chris",,"=""0575085150""","=""9780575085152""",0,3.96,Gollancz,Paperback,380,2009,2009,,2020/11/29,"to-read, to-be-sampled, monthly-tbr, on-deck","to-read (#113), to-be-sampled (#10), monthly-tbr (#5), on-deck (#8)",to-read,,,,0,0
311322,The Black Moth,Georgette Heyer,"Heyer, Georgette",,"=""0553132393""","=""9780553132397""",0,3.72,Bantam,Paperback,274,1979,1921,,2023/11/09,"to-read, tbr-classics","to-read (#646), tbr-classics (#29)",to-read,,,,0,0
